epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1156.15,1.3585,1.01076,0.91521,0.87576,0.82857,0.88422,0.51919,1.7462,1.2321,1.24279,0.000966,0.000966,0.000966
96,1223.58,1.37084,1.02057,0.90762,0.94993,0.91429,0.9099,0.49873,1.93871,1.28883,1.35344,0.000955,0.000955,0.000955
97,1305.5,1.37044,1.02999,0.91542,0.89732,0.82857,0.87592,0.57947,1.60695,1.35153,1.113,0.000944,0.000944,0.000944
98,1386.09,1.36385,1.01109,0.90843,0.96304,0.91429,0.9233,0.57579,1.60729,1.19362,1.12455,0.000933,0.000933,0.000933
99,1457.73,1.35072,1.01511,0.88744,0.8804,0.8415,0.83997,0.5309,1.65282,0.99559,1.07484,0.000922,0.000922,0.000922
100,1535.97,1.37947,1.06299,0.89445,0.91233,0.89211,0.87764,0.53269,1.70852,1.15194,1.1539,0.000911,0.000911,0.000911
101,1617.47,1.34326,1.02544,0.89309,0.90469,0.91429,0.89199,0.55772,1.73776,1.12291,1.20075,0.0009,0.0009,0.0009
102,1683.72,1.35489,1.05603,0.89225,0.88592,0.88753,0.89882,0.55433,1.66254,1.29607,1.06391,0.000889,0.000889,0.000889
103,1752.99,1.39675,1.04975,0.93608,0.90881,0.85435,0.86704,0.53193,1.63478,0.95614,1.04171,0.000878,0.000878,0.000878
104,1825.93,1.33548,1.0406,0.89609,0.91367,0.90726,0.89204,0.56868,1.69904,1.11009,1.19727,0.000867,0.000867,0.000867
105,1916.1,1.29799,1.0009,0.89571,0.91133,0.88108,0.89056,0.49977,1.93748,1.10478,1.30528,0.000856,0.000856,0.000856
106,2015.97,1.38111,1.00382,0.93691,0.94689,0.85714,0.89156,0.55079,1.68194,1.09749,1.22412,0.000845,0.000845,0.000845
107,2116.7,1.32196,0.94433,0.90392,0.93344,0.91429,0.90193,0.53966,1.7372,1.032,1.14747,0.000834,0.000834,0.000834
108,2219.16,1.30354,0.95142,0.90557,0.96959,0.91092,0.9273,0.5262,1.82354,1.26606,1.1161,0.000823,0.000823,0.000823
109,2314.3,1.34914,0.982,0.89752,0.82446,0.88571,0.87521,0.52529,1.71918,1.04885,1.16184,0.000812,0.000812,0.000812
110,2429.02,1.29668,0.95199,0.91118,0.93329,0.91429,0.90479,0.55787,1.68839,1.11426,1.03285,0.000801,0.000801,0.000801
111,2561,1.32637,0.93075,0.91915,0.91098,0.87735,0.88162,0.5527,1.65987,1.12783,1.0791,0.00079,0.00079,0.00079
112,2687.31,1.37923,1.00302,0.91964,0.95047,0.91429,0.92199,0.57562,1.69492,1.24723,1.08606,0.000779,0.000779,0.000779
113,2785.75,1.30278,0.96963,0.87553,0.91241,0.89302,0.89562,0.57508,1.63295,1.28803,1.09833,0.000768,0.000768,0.000768
114,2907.03,1.28883,0.92675,0.88988,0.93872,0.87561,0.91311,0.57662,1.65082,1.37782,1.13466,0.000757,0.000757,0.000757
115,3017.1,1.31711,0.92782,0.89126,0.8844,0.88571,0.87547,0.5166,1.77875,1.01046,1.17381,0.000746,0.000746,0.000746
116,3140.86,1.28953,0.90874,0.87521,0.8887,0.91263,0.9164,0.59837,1.59185,1.20265,1.08751,0.000735,0.000735,0.000735
117,3230.51,1.28513,0.93136,0.90339,0.91388,0.90964,0.90197,0.54001,1.66959,1.26113,1.0745,0.000724,0.000724,0.000724
118,3327.25,1.26452,0.94513,0.87041,0.91147,0.88259,0.89553,0.61953,1.52329,1.13455,1.06224,0.000713,0.000713,0.000713
119,3430.84,1.33369,0.96249,0.89171,0.91671,0.85714,0.89837,0.55805,1.72473,1.1869,1.18123,0.000702,0.000702,0.000702
120,3535.96,1.20992,0.90835,0.87027,0.93693,0.85714,0.886,0.5368,1.70954,1.14258,1.14004,0.000691,0.000691,0.000691
121,3652.21,1.28459,0.92364,0.89859,0.94199,0.85714,0.91919,0.59634,1.6889,1.30279,1.13772,0.00068,0.00068,0.00068
122,3750.97,1.24814,0.89786,0.87369,0.8845,0.88571,0.83988,0.50439,1.80654,1.10994,1.22285,0.000669,0.000669,0.000669
123,3854.1,1.2845,0.95401,0.88849,0.9366,0.84433,0.887,0.54152,1.72288,1.02832,1.21241,0.000658,0.000658,0.000658
