epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,2056.62,1.2441,0.87224,0.88914,0.7441,0.78571,0.83814,0.66212,1.08068,0.86581,0.75029,0.0009308,0.0009308,0.0009308
110,2069.96,1.23641,0.83478,0.89661,0.82808,0.78571,0.8364,0.54443,1.39475,0.84539,0.78118,0.0009209,0.0009209,0.0009209
111,2085.43,1.25846,0.8466,0.86229,0.98377,0.71429,0.85302,0.61176,1.24577,0.77796,0.793,0.000911,0.000911,0.000911
112,2098.73,1.27177,0.84953,0.88875,0.91565,0.77617,0.79829,0.5517,1.31409,0.772,0.78319,0.0009011,0.0009011,0.0009011
113,2116.88,1.14156,0.77054,0.86309,0.97719,0.71429,0.82098,0.63049,1.11279,0.74325,0.76847,0.0008912,0.0008912,0.0008912
114,2130.61,1.17564,0.78036,0.85476,0.91617,0.78099,0.84662,0.63782,1.31104,0.90815,0.80607,0.0008813,0.0008813,0.0008813
115,2145.94,1.15386,0.77403,0.89548,0.91236,0.78571,0.79972,0.65619,1.06809,0.92211,0.77793,0.0008714,0.0008714,0.0008714
116,2161.69,1.12409,0.74824,0.88043,0.90467,0.78571,0.78827,0.62275,0.98758,0.96398,0.80689,0.0008615,0.0008615,0.0008615
117,2177.24,1.13783,0.77736,0.87005,0.90792,0.78571,0.78025,0.5749,1.25684,0.94761,0.79274,0.0008516,0.0008516,0.0008516
118,2189.51,1.10384,0.78341,0.86548,0.94913,0.71429,0.82244,0.65174,1.06615,0.81571,0.80434,0.0008417,0.0008417,0.0008417
119,2205.4,1.13658,0.7586,0.85412,0.97336,0.71429,0.83563,0.65601,1.12019,0.89463,0.80237,0.0008318,0.0008318,0.0008318
120,2222,1.10055,0.78001,0.85348,0.84532,0.78106,0.86254,0.67465,1.12365,0.86947,0.77894,0.0008219,0.0008219,0.0008219
121,2238.16,1.11144,0.77046,0.87115,0.91599,0.7793,0.86453,0.66846,1.10139,0.79444,0.76094,0.000812,0.000812,0.000812
122,2255.38,1.12802,0.78075,0.87313,0.91603,0.77975,0.80337,0.65386,1.14046,0.79628,0.74364,0.0008021,0.0008021,0.0008021
123,2270.65,1.20005,0.82111,0.87602,0.91514,0.77131,0.87684,0.65404,1.19699,0.76805,0.77423,0.0007922,0.0007922,0.0007922
124,2287.8,1.09371,0.76418,0.88823,0.8423,0.78571,0.78231,0.60382,1.15206,0.85809,0.76161,0.0007823,0.0007823,0.0007823
125,2303.33,1.16921,0.8003,0.88158,0.84075,0.78571,0.82067,0.67796,0.98497,0.86442,0.73141,0.0007724,0.0007724,0.0007724
126,2318.33,1.09757,0.76234,0.86914,0.97573,0.71429,0.79026,0.62701,1.12194,0.80432,0.75401,0.0007625,0.0007625,0.0007625
127,2335.18,1.13384,0.76037,0.86882,0.98358,0.71429,0.7966,0.59377,1.25162,0.86126,0.82988,0.0007526,0.0007526,0.0007526
128,2353.73,1.07679,0.73725,0.8741,0.83651,0.78571,0.82282,0.67654,1.04605,0.92559,0.78637,0.0007427,0.0007427,0.0007427
129,2366.04,1.0545,0.74428,0.88494,1,0.7042,0.82009,0.69735,1.01077,0.83718,0.77233,0.0007328,0.0007328,0.0007328
130,2380.07,1.12,0.75371,0.8626,1,0.77364,0.80102,0.65102,1.10546,0.81317,0.78939,0.0007229,0.0007229,0.0007229
